geoid20_x,FIPS,ShapeSTArea,ShapeSTLength,pop_below_100_pct,pop_below_200_pct,chd_pct,total_pop,snap_rate,Age Total population,Under 18 years,Percent Under 18 years,0-19 years,20 to 44 years,45 to 64 years,65 years and over,Percent 65 years and over,85 years and over,Hispanic or Latino,Percent Hispanic or Latino,Not Hispanic or Latino,geoid20_y
106405,6037106405,12611159.8,14491.75197,25.843735,42.233009,4.4905009,4405,2.2701476,4340,973,22.4,1094,1467,1400,379,8.7,9,3083,71,1257,106405
106406,6037106406,21673389.52,21131.508,5.3093114,26.371174,4.4001851,6360,3.144654,6534,1203,18.4,1335,2462,1856,881,13.5,129,4583,70.1,1951,106406
106407,6037106407,2498435.385,6355.671933,31.090008,63.170933,9.5934219,2558,15.637217,2352,641,27.3,705,664,541,442,18.8,117,1843,78.4,509,106407
106408,6037106408,2465456.705,6295.678784,17.685995,48.451153,3.2945735,3749,2.6673779,3733,1367,36.6,1525,1420,639,149,4,0,3445,92.3,288,106408
106510,6037106510,62320912.97,37019.91776,9.5604973,28.12117,4.0242424,5738,5.2283025,5717,1512,26.4,1741,2157,1308,511,8.9,85,3309,57.9,2408,106510
106604,6037106604,28203053.59,26326.17055,9.5373821,36.921726,5.0095811,3749,5.3347559,4010,717,17.9,843,1454,1109,604,15.1,169,3489,87,521,106604
106646,6037106646,15888375.27,23434.58714,6.2585034,17.959183,5.4126678,3002,3.3311126,3011,580,19.3,588,877,935,611,20.3,177,802,26.6,2209,106646
106648,6037106648,8534183.945,13655.96639,18.363979,36.350777,4.8052764,4570,6.5645514,4581,1226,26.8,1340,1616,1041,584,12.7,29,4328,94.5,253,106648
106649,6037106649,11975572.94,20764.18051,6.6070199,18.203716,4.21627,2816,3.5511363,2776,558,20.1,698,811,789,478,17.2,134,1916,69,860,106649
107010,6037107010,7369001.026,12974.11865,6.8685608,37.995628,4.9040513,3118,9.6215525,3177,633,19.9,700,1242,801,434,13.7,59,2859,90,318,107010
